No,레포지토리_이름,GitHub_URL,분류,용도,개발_목적,주로_사용한_언어,주요_키워드,분석_근거
66,tflite-rs,https://github.com/furiosa-ai/tflite-rs,AI 런타임·프레임워크 연동,AI 프레임워크/런타임 연동,"ONNX, TensorFlow, PyTorch, MLIR 등 주요 AI 생태계와 NPU 컴파일·런타임 경로 연결",Rust,runtime; compiler; ONNX; PyTorch/TensorFlow; MLIR,저장소명·일반 upstream 특성 기반 추정
67,yolov5m,https://github.com/furiosa-ai/yolov5m,비전·응용 데모·RAG,YOLOv5m model fork,중간 규모 객체탐지 모델 최적화·검증,Python,computer-vision; object-detection; demo; application; yolo,GitHub 목록/설명 확인
68,gorilla,https://github.com/furiosa-ai/gorilla,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,Python,,저장소명·일반 upstream 특성 기반 추정
69,systemc,https://github.com/furiosa-ai/systemc,하드웨어 설계·검증,SystemC fork,시스템 수준 하드웨어 모델링/시뮬레이션,C++,hardware-verification; RISC-V; DV; coverage; simulation,GitHub 목록/설명 확인
70,eyre,https://github.com/furiosa-ai/eyre,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
71,onnx-mlir,https://github.com/furiosa-ai/onnx-mlir,AI 런타임·프레임워크 연동,ONNX-MLIR fork,ONNX 모델 컴파일러 경로와 MLIR 기반 변환 검증,C++,runtime; compiler; ONNX; PyTorch/TensorFlow; MLIR; onnx,GitHub 목록/설명 확인
72,pyvsc,https://github.com/furiosa-ai/pyvsc,하드웨어 설계·검증,Python verification stimulus/coverage,하드웨어 검증용 constraint random·coverage 지원,Python,hardware-verification; RISC-V; DV; coverage; simulation,GitHub 목록/설명 확인
73,llm-compressor-compression-part,https://github.com/furiosa-ai/llm-compressor-compression-part,LLM 추론·압축·평가,LLM compression library fork,vLLM 배포 최적화를 위한 LLM 압축·양자화 알고리즘 적용,Python,LLM; inference; serving; quantization; benchmark,GitHub 목록/설명 확인
74,ndarray-linalg,https://github.com/furiosa-ai/ndarray-linalg,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
75,furiosa-client-python,https://github.com/furiosa-ai/furiosa-client-python,Furiosa 공식 SDK·운영 도구,Python client,Python 환경에서 Furiosa API/서비스 접근을 단순화,Python,FuriosaAI; NPU; SDK; RNGD/Warboy,GitHub 목록/설명 확인
76,color-eyre,https://github.com/furiosa-ai/color-eyre,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
77,trl,https://github.com/furiosa-ai/trl,LLM 추론·압축·평가,LLM 추론/평가/압축 관련 저장소,대형언어모델을 Furiosa NPU 또는 비교 환경에서 실행·최적화·평가하기 위한 기반 확보,Python,LLM; inference; serving; quantization; benchmark,저장소명·일반 upstream 특성 기반 추정
78,efficientdet-pytorch,https://github.com/furiosa-ai/efficientdet-pytorch,비전·응용 데모·RAG,EfficientDet PyTorch fork,PyTorch 기반 객체탐지 모델 검증,Python,computer-vision; object-detection; demo; application,GitHub 목록/설명 확인
79,llmperf,https://github.com/furiosa-ai/llmperf,LLM 추론·압축·평가,LLM serving performance tool,LLM serving 지연시간·처리량 벤치마크,Python,LLM; inference; serving; quantization; benchmark,GitHub 목록/설명 확인
80,VLMEvalKit,https://github.com/furiosa-ai/VLMEvalKit,LLM 추론·압축·평가,Large multimodal model evaluation toolkit,멀티모달 모델 벤치마크와 평가 파이프라인 검토,Python,LLM; inference; serving; quantization; benchmark,GitHub 목록/설명 확인
81,highs-sys,https://github.com/furiosa-ai/highs-sys,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
82,rdma-sys,https://github.com/furiosa-ai/rdma-sys,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level; rdma,저장소명·일반 upstream 특성 기반 추정
83,chisel3,https://github.com/furiosa-ai/chisel3,하드웨어 설계·검증,Chisel hardware construction language fork,하드웨어 설계 RTL 생성·검증 기반 확보,Scala,hardware-verification; RISC-V; DV; coverage; simulation,GitHub 목록/설명 확인
84,docs,https://github.com/furiosa-ai/docs,Furiosa 공식 SDK·운영 도구,Rendered Documentation of FuriosaAI SDK,SDK와 개발자 문서를 정적 사이트 형태로 배포,HTML,FuriosaAI; NPU; SDK; RNGD/Warboy,GitHub 목록/설명 확인
85,panoptic-deeplab,https://github.com/furiosa-ai/panoptic-deeplab,비전·응용 데모·RAG,Panoptic-DeepLab fork,panoptic segmentation 모델 검증,Python,computer-vision; object-detection; demo; application,GitHub 목록/설명 확인
86,LongBench,https://github.com/furiosa-ai/LongBench,LLM 추론·압축·평가,Long-context benchmark fork,장문 컨텍스트 LLM 평가,Python,LLM; inference; serving; quantization; benchmark,GitHub 목록/설명 확인
87,ciborium,https://github.com/furiosa-ai/ciborium,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
88,EDSR-PyTorch,https://github.com/furiosa-ai/EDSR-PyTorch,비전·응용 데모·RAG,EDSR super-resolution fork,초해상도 모델 실행·성능 검증,Python,computer-vision; object-detection; demo; application,GitHub 목록/설명 확인
89,power-dev,https://github.com/furiosa-ai/power-dev,Furiosa 공식 SDK·운영 도구,Furiosa NPU 공식 구성요소,Furiosa NPU 소프트웨어 스택의 개발·배포·운영 지원,Shell,FuriosaAI; NPU; SDK; RNGD/Warboy,저장소명·일반 upstream 특성 기반 추정
90,libbpf-sys,https://github.com/furiosa-ai/libbpf-sys,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
91,claude-squad-rs,https://github.com/furiosa-ai/claude-squad-rs,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
92,project-template,https://github.com/furiosa-ai/project-template,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,Mixed,,저장소명·일반 upstream 특성 기반 추정
93,furiosa-schedule-viewer,https://github.com/furiosa-ai/furiosa-schedule-viewer,Furiosa 공식 SDK·운영 도구,스케줄 시각화 도구,NPU 작업 스케줄·실행 타임라인을 분석하고 디버깅,Rust,FuriosaAI; NPU; SDK; RNGD/Warboy,GitHub 목록/설명 확인
94,synstructure,https://github.com/furiosa-ai/synstructure,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
95,tensorflow,https://github.com/furiosa-ai/tensorflow,AI 런타임·프레임워크 연동,AI 프레임워크/런타임 연동,"ONNX, TensorFlow, PyTorch, MLIR 등 주요 AI 생태계와 NPU 컴파일·런타임 경로 연결",C++,runtime; compiler; ONNX; PyTorch/TensorFlow; MLIR,저장소명·일반 upstream 특성 기반 추정
96,mlflow,https://github.com/furiosa-ai/mlflow,AI 런타임·프레임워크 연동,AI 프레임워크/런타임 연동,"ONNX, TensorFlow, PyTorch, MLIR 등 주요 AI 생태계와 NPU 컴파일·런타임 경로 연결",Python,runtime; compiler; ONNX; PyTorch/TensorFlow; MLIR,저장소명·일반 upstream 특성 기반 추정
97,pyucis,https://github.com/furiosa-ai/pyucis,하드웨어 설계·검증,Python UCIS library,검증 coverage 데이터 교환·분석 지원,Python,hardware-verification; RISC-V; DV; coverage; simulation,GitHub 목록/설명 확인
98,protobuf-gen,https://github.com/furiosa-ai/protobuf-gen,하드웨어 설계·검증,하드웨어 설계·검증 도구,"NPU/SoC 설계 검증, 시뮬레이션, coverage, RISC-V 관련 검증 인프라 확보",Rust,hardware-verification; RISC-V; DV; coverage; simulation,저장소명·일반 upstream 특성 기반 추정
99,detectron2,https://github.com/furiosa-ai/detectron2,비전·응용 데모·RAG,Detectron2 fork,객체탐지/세그멘테이션 프레임워크 검증,Python,computer-vision; object-detection; demo; application,GitHub 목록/설명 확인
100,highs,https://github.com/furiosa-ai/highs,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",C++,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
101,ironic,https://github.com/furiosa-ai/ironic,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,Python,,저장소명·일반 upstream 특성 기반 추정
102,backtrace-rs,https://github.com/furiosa-ai/backtrace-rs,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
